P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
230,22,152,86,103,483,325,242,241,236,223,224,220,249,247,240,101
254,21,174,73,109,472,333,209,249,217,211,212,224,219,256,218,79
256,20,165,65,109,465,358,206,213,196,228,238,224,202,216,215,82
232,19,155,70,108,439,339,236,200,199,194,213,218,208,202,200,94
213,24,146,88,119,467,354,198,189,237,199,210,211,199,218,240,92
216,26,165,81,92,430,335,218,206,211,211,217,223,204,184,219,97
228,23,162,76,107,449,351,214,217,189,180,212,205,222,214,216,89
237,27,166,89,112,421,312,182,169,182,202,216,222,184,188,223,88
254,31,158,61,116,438,318,196,188,170,186,196,200,200,178,227,95
254,37,144,66,109,416,353,191,199,191,186,186,188,173,190,209,87
260,26,156,67,92,438,346,161,210,189,168,183,191,179,197,212,111
264,23,143,82,108,453,318,186,184,169,193,160,220,176,188,182,99
243,25,153,62,116,405,321,184,175,177,165,189,185,184,174,180,107
282,25,149,71,91,389,347,167,150,163,190,170,174,172,176,180,80
259,18,155,69,96,415,318,171,172,169,149,163,153,146,173,170,96
269,17,175,68,98,381,317,176,170,165,140,190,168,169,179,149,85
253,28,162,71,92,418,399,167,176,156,147,169,154,166,178,169,100
