P4f_sze_l
13
11
14
20
17
17
22
22
13
14
20
23
13
19
20
18
17
21
23
13
11
22
15
14
21
22
12
17
20
21
20
13
18
22
22
22
17
21
31
19
24
36
30
42
36
30
32
33
42
43
41
38
44
33
33
23
21
17
29
25
14
25
17
20
17
24
15
19
13
13
16
13
22
21
13
20
21
15
14
15
11
11
10
9
16
15
7
14
20
16
22
12
7
10
16
16
9
19
10
15
