P4f_sze_l
51
16
11
11
8
9
4
7
1
4
6
2
6
1
4
3
6
5
3
0
2
1
2
2
0
2
1
0
1
1
0
1
1
1
1
1
0
1
1
0
1
1
2
2
2
1
1
1
4
1
0
3
0
0
0
2
1
0
2
1
2
1
0
0
2
0
1
0
2
2
3
1
1
2
1
1
2
0
0
2
2
1
4
2
3
6
1
1
1
1
4
2
6
7
7
9
10
10
15
19
