P4f_sze_l
12
9
17
14
11
7
9
12
12
10
17
11
10
11
10
14
13
8
9
25
8
12
6
10
13
7
12
14
14
19
11
15
15
11
12
21
8
11
8
9
7
10
13
13
8
15
20
16
15
16
7
7
10
10
14
10
11
6
15
8
16
9
10
11
8
15
9
13
10
14
14
12
17
13
15
12
10
10
4
14
10
23
13
10
15
10
10
15
9
15
9
9
14
16
21
7
13
16
17
15
