P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
5,1,17,1,38,103,11,485,468,502,495,450,490,484,478,467,11
6,3,14,0,39,87,6,458,452,481,467,476,468,456,492,464,11
10,2,6,0,34,88,14,457,463,437,450,473,427,448,451,459,9
8,3,20,0,36,101,16,492,416,441,459,485,434,435,457,416,11
13,3,13,0,25,77,16,451,432,418,451,546,448,419,429,394,8
16,2,18,0,36,91,14,450,393,381,392,543,365,433,410,383,6
13,3,12,0,27,63,15,331,328,337,328,664,309,340,388,348,2
8,10,5,0,34,74,1,205,224,210,189,682,231,225,296,259,6
19,7,1,0,29,46,0,112,141,108,85,769,173,77,220,170,6
26,5,1,0,25,57,0,41,97,57,44,891,122,29,179,118,1
38,18,1,0,32,23,0,29,66,25,14,1054,114,10,162,78,1
23,40,0,0,153,0,0,24,29,8,14,1611,67,4,143,51,0
