P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
44,0,460,14,368,625,509,13865,9075,9747,11052,719,6843,11487,1290,6570,8676,150
49,4,136,3,358,504,147,8954,6986,7671,8331,688,5508,8981,317,5355,6559,153
28,2,77,3,256,462,82,5554,5094,5808,5981,698,4355,6217,144,4224,5111,105
16,4,52,2,239,408,59,3571,3695,4362,4198,705,3825,4203,97,3197,3897,73
10,3,42,0,202,269,48,2464,2937,3165,3079,658,3157,2851,58,2596,3088,67
14,1,34,0,149,264,25,1720,2226,2433,2208,700,2690,2170,44,2037,2459,65
13,2,23,0,137,233,31,1303,1865,1975,1755,652,2386,1512,31,1756,2096,54
5,1,17,0,122,277,22,1023,1616,1539,1335,648,2075,1157,26,1602,1668,47
10,1,19,1,104,245,12,813,1433,1263,1103,629,1761,893,20,1366,1490,21
11,0,14,0,87,219,18,678,1200,995,851,607,1565,690,14,1216,1247,19
4,1,20,1,96,199,5,549,999,824,703,603,1357,588,5,1078,1027,24
6,2,9,0,88,234,4,516,853,719,559,622,1199,500,10,1000,913,17
4,0,8,0,73,215,6,380,694,601,493,568,1059,403,11,863,783,20
7,0,6,1,50,188,8,325,643,479,414,643,894,336,8,764,636,13
6,2,10,0,46,217,4,290,472,404,351,588,817,286,8,717,553,14
1,0,2,0,41,169,5,262,419,335,303,599,686,234,4,689,480,11
6,1,3,0,41,164,4,226,375,310,253,593,620,230,3,602,385,8
7,0,5,0,30,163,2,210,296,276,221,616,518,212,5,586,383,5
2,4,2,0,34,154,2,178,228,212,183,540,500,171,3,554,335,9
7,3,1,0,23,131,2,186,209,178,144,563,429,159,0,470,244,9
6,0,0,0,20,116,2,149,171,144,123,552,335,126,1,460,269,6
15,2,0,0,27,134,3,161,179,139,116,551,296,82,3,414,205,7
11,2,1,0,21,98,1,147,139,103,99,514,262,92,2,386,189,5
12,2,1,0,20,92,2,118,128,88,82,524,270,75,1,340,189,2
9,0,0,0,14,77,0,121,129,97,90,493,218,66,1,332,167,1
13,0,0,0,15,67,0,86,111,82,74,510,170,81,0,321,128,1
12,2,0,0,12,43,0,108,101,61,52,523,157,59,0,280,120,2
14,1,0,0,13,50,0,94,101,63,64,503,133,46,1,257,107,2
16,1,0,0,12,35,0,66,89,55,49,489,144,45,0,254,98,1
10,1,0,0,7,31,1,82,72,54,44,499,100,46,1,258,82,1
18,1,0,0,9,23,0,67,55,36,48,467,90,37,0,244,69,2
16,0,0,0,6,22,0,63,76,35,43,483,86,35,0,227,66,0
11,2,0,0,11,17,1,73,63,27,28,449,68,27,1,182,77,0
18,2,0,0,9,13,0,58,60,27,31,426,73,22,0,195,75,1
21,3,0,0,9,10,0,48,69,28,29,412,56,30,0,172,77,1
14,2,0,0,6,16,0,48,61,26,21,428,53,23,0,160,54,1
20,1,0,0,11,11,0,50,44,19,27,414,49,15,0,148,56,2
18,0,0,0,4,8,0,51,34,17,19,459,38,21,0,149,50,0
23,0,0,0,6,12,0,39,49,16,13,427,37,13,0,136,37,0
18,0,0,0,3,8,0,29,40,9,20,425,40,14,0,128,45,0
24,1,0,0,5,11,0,29,31,20,18,409,26,14,1,128,56,0
18,0,0,0,10,5,0,39,42,6,19,382,23,9,0,115,42,0
18,0,0,0,3,9,0,23,32,11,11,388,21,11,0,112,38,1
13,1,0,0,5,7,0,30,31,8,12,401,26,11,0,112,34,0
14,0,0,0,7,5,0,25,29,13,12,371,25,8,0,77,30,0
15,2,0,0,1,3,0,23,36,3,8,353,15,10,0,85,26,0
10,0,0,0,1,1,0,23,26,9,7,341,16,8,0,84,19,0
10,1,0,0,8,2,0,27,25,7,8,333,15,4,0,69,17,0
12,1,0,0,2,5,0,24,31,6,9,316,19,5,0,74,24,0
10,0,0,0,2,1,0,22,27,3,6,331,12,4,0,76,19,0
3,1,0,0,3,3,0,17,24,5,10,333,15,2,0,60,27,0
8,1,0,0,0,0,0,12,16,8,5,324,9,7,0,73,18,0
3,1,0,0,5,2,0,25,15,3,11,288,12,4,0,49,19,0
1,1,0,0,2,1,0,22,19,9,5,280,13,3,0,70,17,0
2,0,0,0,3,3,0,17,18,5,6,294,11,2,0,55,16,0
1,0,0,0,1,1,0,12,28,3,5,297,6,3,0,58,17,0
1,0,0,0,2,2,0,12,22,4,3,292,11,3,0,47,10,0
2,1,0,0,3,0,0,16,21,2,2,275,7,2,0,40,16,0
0,0,0,0,2,1,0,12,10,6,2,289,5,3,0,41,4,0
2,1,0,0,2,0,0,10,10,4,3,274,8,0,0,41,13,0
0,0,0,0,2,3,0,10,11,3,0,261,11,0,0,42,10,0
3,0,0,0,0,1,0,7,12,1,0,248,4,2,0,43,6,0
2,1,0,0,1,0,0,17,15,1,2,229,2,0,0,35,10,0
2,1,0,0,2,1,0,11,12,2,3,252,6,0,0,40,6,0
2,0,0,0,3,0,0,8,13,2,1,240,3,3,0,39,9,0
1,0,0,0,2,0,0,11,12,2,1,203,4,1,0,30,3,0
0,1,0,0,5,1,0,13,15,1,2,213,5,1,0,32,11,0
0,1,0,0,3,0,0,9,13,2,0,221,0,0,0,24,5,0
1,0,0,0,0,0,0,7,8,0,2,200,3,0,0,22,4,0
0,0,0,0,1,1,0,7,7,2,1,171,8,1,0,23,7,1
0,3,0,0,3,0,0,5,6,1,1,178,1,0,0,14,5,0
1,1,0,0,1,0,0,10,1,0,0,175,5,2,0,20,6,0
0,0,0,0,0,0,0,9,5,1,1,171,3,0,0,14,8,0
0,0,0,0,4,1,0,4,9,1,2,197,5,1,0,16,5,0
0,0,0,0,0,0,0,8,3,0,0,177,3,0,0,15,6,0
0,2,0,0,1,0,0,5,9,1,0,147,1,0,0,18,6,0
1,0,0,0,0,0,0,2,4,1,0,155,4,0,0,11,10,0
0,1,0,0,2,0,0,2,6,0,1,164,2,0,0,15,2,0
0,2,0,0,1,0,0,7,5,1,0,129,3,1,0,9,7,0
1,3,0,0,0,0,0,3,3,0,1,137,0,0,0,10,5,0
0,2,0,0,3,0,0,6,4,0,0,112,0,0,0,9,2,0
0,0,0,0,1,1,0,0,7,1,0,121,2,0,0,5,3,0
0,1,0,0,3,0,0,2,3,0,0,124,2,0,0,8,5,0
0,1,0,0,2,0,0,2,5,0,0,96,1,0,0,8,3,0
0,0,0,0,0,0,0,7,5,0,0,111,0,0,0,2,7,0
0,0,0,0,0,0,0,2,4,2,0,108,0,1,0,3,5,0
1,1,0,0,2,0,0,0,4,0,1,106,1,0,0,6,4,0
0,1,0,0,1,0,0,0,3,0,0,97,0,0,0,4,2,0
0,0,0,0,0,0,0,1,3,1,0,81,0,0,0,2,3,0
0,0,0,0,2,0,0,3,4,1,0,73,3,0,0,2,1,0
0,0,0,0,0,1,0,1,2,0,0,75,1,0,0,4,2,0
0,0,0,0,1,0,0,6,3,0,0,72,0,0,0,4,2,0
0,2,0,0,1,0,0,0,1,0,0,77,0,1,0,2,1,0
0,1,0,0,3,0,0,2,3,0,1,55,1,0,0,2,0,0
0,0,0,0,3,0,0,1,4,0,0,50,0,0,0,3,0,0
0,1,0,0,1,0,0,1,2,0,0,50,0,0,0,0,1,0
0,0,0,0,1,0,0,2,1,0,0,29,0,0,0,3,3,0
0,1,0,0,0,0,0,0,2,0,0,23,1,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
