P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
7,1,9,1,27,60,3,542,494,511,525,476,529,503,22,516,486,15
7,4,13,0,35,82,10,498,507,514,537,487,523,511,29,486,532,12
8,0,10,1,21,58,13,524,473,485,501,484,527,515,22,509,495,19
7,2,13,1,40,67,5,503,511,534,501,496,530,478,25,520,544,8
8,3,9,0,32,58,12,531,518,516,547,527,565,547,23,503,537,11
2,2,4,0,41,56,5,503,487,566,519,508,572,497,33,502,515,13
7,3,13,0,31,51,12,538,543,522,531,463,530,533,14,505,515,14
12,0,7,0,48,69,11,524,486,462,524,479,520,515,23,542,513,13
10,3,10,0,39,61,8,518,515,532,513,493,522,510,20,538,513,13
8,4,10,0,40,58,11,532,516,524,520,525,516,503,28,529,536,6
7,1,10,2,38,69,12,510,521,475,489,462,529,514,24,510,539,16
7,1,7,0,36,58,16,546,508,535,499,496,498,505,25,499,533,11
12,1,10,0,42,70,12,529,509,508,487,505,525,520,25,548,500,10
8,1,6,0,32,78,12,542,532,507,505,485,546,517,22,547,561,7
11,1,12,0,36,76,17,503,508,534,502,499,521,486,26,546,475,16
10,1,13,1,43,80,9,506,470,502,519,455,556,516,23,511,522,9
6,0,8,0,37,81,11,509,490,505,512,512,511,504,24,526,543,16
16,4,9,0,35,86,5,492,467,489,515,489,514,494,32,531,522,8
8,2,11,0,39,76,9,537,453,492,506,497,481,494,34,526,531,6
11,0,5,0,34,84,8,487,473,487,481,460,515,462,25,493,494,11
16,3,14,0,47,77,11,492,429,477,515,463,493,495,24,508,523,8
15,1,15,0,33,93,11,463,478,525,463,445,487,459,35,520,522,12
11,3,8,0,38,97,16,524,496,458,471,436,541,519,17,481,541,12
10,6,11,1,42,75,12,468,477,501,483,460,505,460,17,508,472,18
16,3,16,2,52,98,16,471,460,480,475,458,494,459,23,524,489,13
18,4,22,0,40,81,18,481,449,495,481,424,463,462,23,483,465,12
14,4,15,1,36,102,15,447,443,457,468,423,491,444,27,495,457,10
15,7,14,0,46,104,13,450,479,461,462,465,474,430,22,526,501,10
17,3,13,0,55,97,12,459,502,426,475,460,501,447,21,487,478,10
25,3,10,0,57,100,13,480,419,476,486,472,484,473,18,476,471,7
22,9,19,0,49,112,22,466,475,474,447,454,469,437,17,463,472,7
25,7,21,0,50,123,13,440,459,453,442,426,475,433,32,445,467,7
37,6,15,0,43,119,13,487,449,460,407,426,464,489,20,464,440,12
44,11,21,0,53,124,15,428,446,453,423,424,465,434,20,452,493,14
67,15,17,1,56,146,16,461,427,427,440,475,392,466,21,445,439,10
83,13,28,0,64,154,18,426,446,474,440,416,447,436,27,462,435,8
140,27,27,0,93,185,18,408,418,434,443,425,450,406,21,446,446,4
1954,56,15,1,205,179,32,436,446,425,408,404,447,427,27,451,442,4
