P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
1935,47,18,2,204,206,23,455,423,432,425,452,424,438,23,422,455,10
98,26,10,0,88,150,18,427,387,463,452,484,438,400,28,436,430,12
71,17,28,1,58,166,10,455,444,450,462,407,471,448,21,455,442,4
54,10,23,0,46,124,15,473,428,449,417,431,432,459,20,473,436,7
30,9,24,0,51,136,17,415,429,425,443,449,452,433,17,472,415,9
32,13,15,0,58,128,18,440,447,440,455,447,484,404,17,443,479,5
31,5,22,0,56,132,19,490,452,469,474,425,494,454,17,429,441,12
22,12,14,0,43,117,11,479,455,473,446,459,469,487,19,482,507,5
22,7,17,0,47,124,19,478,465,464,493,480,444,459,16,440,443,6
16,3,12,1,55,127,5,485,471,462,468,435,503,447,12,518,476,13
14,6,13,0,41,101,16,514,493,453,499,461,520,512,18,477,447,13
16,3,18,1,39,80,14,494,476,513,493,419,476,468,19,486,485,5
19,3,13,0,40,92,16,471,503,486,464,444,483,488,26,474,476,16
19,3,11,1,42,91,22,497,496,472,475,466,487,482,30,475,495,13
7,4,15,0,34,78,20,498,479,490,473,465,513,481,21,522,445,9
11,6,12,0,41,84,15,463,538,484,516,469,479,475,18,509,481,7
14,2,12,3,36,97,10,499,455,483,483,429,512,488,22,506,490,7
8,3,8,0,35,112,10,527,489,483,483,485,498,505,23,417,494,9
15,3,13,0,31,100,14,498,437,486,493,514,541,497,20,540,533,5
9,4,12,0,35,78,10,518,480,497,488,440,503,487,22,492,503,8
10,3,9,0,41,89,12,483,521,548,505,494,530,504,22,543,477,6
9,1,8,1,42,65,16,511,487,511,515,483,521,488,17,483,504,11
12,6,12,0,37,63,10,525,478,536,500,510,497,525,27,506,535,8
7,1,9,0,35,71,6,514,483,500,485,504,482,497,19,524,507,11
7,4,11,0,29,80,9,521,508,495,499,518,503,471,25,469,505,14
7,3,10,1,30,63,12,519,479,503,466,500,489,517,19,523,547,10
11,2,12,0,38,83,12,552,502,498,512,511,545,532,23,533,544,17
8,2,6,1,34,56,10,543,471,507,497,492,509,518,37,528,526,8
5,1,12,0,41,57,8,528,529,530,561,517,551,499,21,528,557,10
9,3,15,0,44,67,14,516,544,531,537,470,502,505,31,516,500,6
10,0,6,1,29,69,16,560,562,460,498,558,535,520,20,531,515,8
3,0,10,0,35,60,5,537,521,481,515,502,554,545,15,501,538,10
5,0,10,0,33,44,5,522,551,508,488,507,553,530,31,461,540,7
3,0,4,0,35,66,8,546,519,532,585,527,530,524,27,500,499,18
11,5,17,0,38,57,11,525,519,521,533,543,544,509,14,509,515,13
7,3,8,0,35,58,15,554,509,550,478,502,532,513,24,486,545,12
7,1,6,0,43,54,12,493,533,514,515,487,557,475,25,536,570,7
10,3,14,0,33,49,6,519,551,491,560,468,526,530,26,552,487,9
7,0,10,0,36,63,9,523,526,483,546,545,538,505,27,503,533,13
11,1,11,0,39,71,9,493,531,503,547,525,597,491,21,560,525,8
5,4,7,1,32,64,12,559,524,523,526,517,540,546,33,520,550,12
6,2,7,0,31,67,8,548,523,548,558,490,527,538,27,522,568,7
8,2,6,0,39,48,6,539,498,528,560,555,527,506,34,526,547,11
6,4,6,0,37,60,9,520,515,547,501,536,532,504,27,582,553,12
5,1,4,0,39,67,9,566,536,540,513,528,546,571,23,580,541,15
6,0,11,0,33,56,11,510,493,513,477,547,586,495,26,563,558,14
6,2,11,0,36,50,10,522,510,544,492,520,538,493,27,542,507,9
6,3,9,0,31,50,11,560,528,513,532,537,603,537,22,547,560,7
6,0,8,0,45,55,16,579,553,543,521,502,564,550,18,555,545,13
10,0,6,1,31,40,6,528,527,532,525,463,528,535,21,527,527,8
9,0,9,0,36,46,10,537,519,516,544,535,522,524,28,506,541,9
3,2,10,0,42,52,9,544,492,541,570,496,503,549,17,588,532,13
5,2,5,0,39,53,7,544,531,575,545,520,556,523,35,529,570,20
6,0,7,0,30,59,9,538,510,525,535,499,530,531,19,553,538,13
3,3,6,0,40,61,7,546,530,534,503,502,526,526,29,524,498,15
11,2,2,0,32,67,10,508,541,533,544,522,542,483,23,532,522,10
3,0,9,1,38,63,6,530,559,509,520,489,557,526,20,559,533,12
8,3,13,1,37,55,13,530,494,525,552,513,518,502,24,537,550,9
7,1,4,0,29,51,6,557,513,531,569,552,510,542,25,542,502,7
4,3,9,1,35,51,11,520,535,537,554,501,534,529,31,556,498,13
6,3,7,0,36,67,7,538,550,511,530,518,543,510,17,530,550,6
2,2,9,0,19,69,8,532,510,543,495,506,537,506,28,559,516,1
