P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
61,5,2379,1044,597,1969,3820,13786,8948,9905,11164,727,6843,11761,1253,6651,8619,160
64,6,568,257,455,1599,1037,8991,7047,7757,8335,686,5626,9019,315,5490,6502,137
28,2,309,133,369,1288,540,5610,5101,5617,5868,690,4501,6138,157,4152,5010,108
27,8,197,81,322,1053,365,3505,3760,4246,4294,720,3746,4170,102,3117,3877,69
23,3,150,56,289,912,251,2396,2759,3326,3103,691,3192,2854,62,2593,3137,63
11,2,83,39,209,763,192,1755,2243,2542,2313,638,2655,2109,47,2105,2526,64
14,0,77,21,207,711,153,1307,1883,2016,1710,682,2387,1507,33,1765,2114,49
9,2,71,24,168,632,139,953,1656,1555,1394,612,2029,1094,34,1551,1798,35
11,2,53,16,161,596,116,906,1351,1327,1085,672,1791,899,22,1325,1418,27
10,4,56,17,140,594,100,638,1131,1059,869,636,1499,675,7,1242,1239,28
8,3,33,12,138,602,86,561,1081,877,648,654,1371,605,10,1097,997,23
11,3,17,14,103,600,60,478,844,701,553,625,1188,478,7,977,917,20
9,3,29,8,110,463,51,439,784,611,516,647,1083,403,5,871,735,26
6,4,16,7,91,491,55,356,623,481,395,613,872,357,7,808,616,11
7,2,14,11,63,491,54,313,534,437,371,595,784,294,0,713,540,20
4,3,8,2,65,439,42,257,383,334,263,594,716,242,3,682,473,8
6,4,9,1,71,417,29,250,353,303,204,598,584,219,7,568,404,10
12,3,11,2,51,374,29,223,263,256,198,603,498,190,2,537,377,7
10,2,3,1,42,336,22,214,250,215,191,546,473,159,2,551,303,6
12,3,6,1,34,337,30,173,209,186,151,536,394,128,1,525,276,5
16,2,5,3,37,371,12,159,163,159,144,577,340,130,2,491,235,10
22,3,2,2,30,284,26,137,185,134,107,540,323,97,1,431,186,6
