P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
17,0,3,2,42,253,27,151,169,120,105,523,279,90,0,367,188,0
11,3,1,1,38,216,19,130,137,106,106,529,232,75,1,366,159,5
14,0,3,2,23,156,11,93,129,85,79,541,214,77,0,324,147,1
21,1,1,0,20,142,10,105,118,58,66,504,183,54,1,296,144,0
15,4,0,0,16,127,13,88,106,63,65,498,150,57,1,298,121,4
15,2,4,1,19,94,10,76,112,65,56,526,140,61,0,266,122,0
14,0,0,0,21,68,6,93,92,55,57,508,129,46,0,287,115,0
17,1,0,0,16,62,7,85,75,26,43,492,117,33,0,239,102,1
20,3,0,0,13,58,4,75,82,46,40,465,74,34,0,210,83,1
17,1,0,0,19,44,7,56,61,30,36,469,90,31,0,223,78,1
19,2,0,0,11,50,0,68,76,35,21,453,76,37,0,192,65,2
26,1,1,0,14,33,2,49,62,32,33,463,70,23,0,198,74,1
24,2,0,0,9,32,5,55,67,24,26,433,60,23,0,174,51,0
26,3,1,0,10,17,3,52,60,26,19,439,44,11,0,163,59,1
27,1,0,0,11,29,1,64,59,17,15,414,41,19,0,159,53,1
25,0,0,0,3,20,2,43,48,20,17,414,39,20,0,139,54,0
23,2,0,0,7,25,1,46,43,20,25,396,40,17,0,119,49,0
26,1,0,0,10,15,0,36,30,18,14,398,21,13,0,124,49,0
24,0,0,0,10,12,0,36,36,18,14,404,27,13,0,141,35,0
22,4,0,0,5,13,1,27,44,13,7,388,26,9,0,108,42,0
22,4,0,0,5,7,0,27,42,12,6,390,29,7,0,105,35,0
25,2,0,0,9,8,1,23,41,11,6,372,25,5,0,90,29,0
14,1,0,0,9,9,0,27,23,9,5,395,15,13,0,86,29,0
11,2,0,0,9,11,0,31,41,5,3,391,26,7,0,101,25,2
11,2,0,0,4,8,0,29,26,4,4,352,24,10,0,91,23,0
14,0,0,0,8,6,0,21,33,5,7,328,17,6,0,87,22,0
12,1,0,1,4,4,0,23,22,5,4,382,19,3,0,77,34,0
12,2,0,0,9,5,0,26,38,9,6,322,5,6,0,77,27,0
9,2,0,0,1,3,3,22,21,4,1,339,13,6,0,64,27,0
7,2,0,0,3,4,1,10,20,1,5,309,14,5,0,83,20,0
9,1,0,0,5,4,0,19,20,4,4,291,10,6,0,72,21,0
5,1,0,0,5,0,0,19,20,2,0,329,11,4,0,59,18,0
4,0,0,0,8,3,1,21,18,1,3,290,7,1,0,53,23,0
5,2,0,0,7,3,1,19,25,2,3,270,10,1,0,55,17,0
1,0,0,0,1,4,1,10,17,3,2,280,5,2,0,43,13,0
0,1,0,0,4,2,0,14,15,3,1,265,5,8,0,58,12,0
2,2,0,0,3,4,0,14,19,2,3,263,6,4,0,38,13,0
2,2,0,0,2,2,0,14,15,1,2,242,5,0,0,44,9,0
2,1,0,0,5,5,0,7,20,1,3,246,11,1,0,42,13,0
0,1,0,0,4,0,0,13,7,2,2,255,4,0,0,35,14,0
0,1,0,0,4,1,0,12,12,0,2,248,5,3,0,40,12,0
1,1,0,0,4,1,0,6,13,1,1,245,3,0,0,30,6,0
3,1,0,0,3,2,0,15,13,0,0,215,3,0,0,21,12,0
1,2,0,0,2,1,0,13,16,0,2,206,5,1,0,20,8,0
1,1,0,0,2,1,0,11,11,0,2,227,4,0,0,35,10,0
1,1,0,0,4,1,0,13,13,1,2,201,4,0,0,18,10,0
0,0,0,0,7,0,0,9,12,0,0,211,3,1,0,17,11,0
1,1,0,0,0,1,0,8,5,1,0,216,5,2,0,17,11,0
0,2,0,0,2,2,0,8,6,3,0,211,3,0,0,25,8,0
0,3,0,0,2,0,0,3,9,0,0,204,2,0,0,13,8,0
0,2,0,0,1,0,1,4,8,3,1,184,0,0,0,19,8,0
1,2,0,0,4,1,0,5,10,0,0,170,1,0,0,9,6,0
0,2,0,0,6,2,0,3,9,1,0,162,2,1,0,15,5,0
0,1,0,0,2,0,0,7,3,0,0,154,2,0,0,11,6,0
2,2,0,0,2,2,0,5,8,1,0,153,3,0,0,15,4,0
1,0,0,0,3,1,0,2,5,0,0,145,0,0,0,11,6,0
1,0,0,0,2,0,0,3,5,0,0,145,1,0,0,10,6,0
0,0,0,0,5,0,0,3,5,0,0,150,1,0,0,9,4,0
1,3,0,0,5,1,0,3,6,0,0,123,0,1,0,11,3,0
0,0,0,0,6,0,0,1,6,0,0,113,0,0,0,5,3,0
0,1,0,0,3,0,0,3,7,0,0,100,1,0,0,11,0,0
0,1,0,0,2,1,0,1,5,0,0,121,1,0,0,6,4,0
0,1,0,0,6,0,0,3,4,0,0,108,1,2,0,6,2,0
0,3,0,0,2,0,0,4,5,0,1,94,2,1,0,3,4,0
0,1,0,0,3,0,0,3,4,0,1,99,1,0,0,3,2,0
0,0,0,0,3,0,0,0,1,0,0,82,2,0,0,2,0,0
0,1,0,0,1,1,0,1,3,0,0,80,1,0,0,4,2,0
0,1,0,0,0,1,0,3,2,0,0,71,0,0,0,5,1,0
0,0,0,0,1,0,0,2,3,0,0,77,3,0,0,3,1,0
0,2,0,0,0,0,0,3,3,0,0,74,0,1,0,4,0,0
0,0,0,0,1,0,0,0,0,0,0,54,0,0,0,5,0,0
0,0,0,0,0,0,0,1,2,0,0,57,1,0,0,2,0,0
0,1,0,0,1,0,0,1,3,0,0,37,0,0,0,4,1,0
0,0,0,0,2,0,0,1,1,0,0,41,0,0,0,3,0,0
0,0,0,0,1,0,0,1,0,0,0,30,0,0,0,1,0,0
0,3,0,0,1,0,0,0,1,0,0,13,0,1,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0
