P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
27,80,0,0,277,5,1,19,53,10,8,1625,56,3,0,170,41,0
36,15,0,0,53,53,3,36,65,25,22,1038,100,14,0,154,82,0
26,13,2,1,43,130,4,46,100,53,49,885,143,45,0,184,115,8
26,9,6,2,43,163,9,95,138,130,104,791,193,87,1,223,152,4
22,9,14,5,42,176,36,188,227,210,203,673,243,212,3,303,237,7
19,7,64,27,41,217,89,362,317,318,315,615,317,347,17,360,361,4
16,2,64,39,55,229,113,479,420,419,414,548,381,406,24,415,375,9
16,4,69,27,45,256,94,451,387,437,420,515,414,463,25,433,442,11
14,3,75,26,47,251,113,487,453,449,436,514,404,472,13,453,394,7
15,2,71,28,57,240,112,482,449,476,496,485,471,437,20,468,430,7
18,2,50,25,47,226,94,469,452,520,471,454,425,445,24,481,473,9
11,6,67,26,53,236,107,450,455,464,421,446,513,481,19,423,495,6
12,1,71,33,52,228,85,509,498,482,481,421,483,460,21,452,444,4
18,4,64,23,52,226,102,451,440,455,488,368,479,471,21,477,447,9
18,3,51,24,39,224,89,528,491,521,522,361,494,425,22,477,460,4
10,1,49,21,34,199,83,457,468,475,445,372,455,487,15,455,491,11
16,2,52,14,50,207,96,489,494,474,505,377,491,521,21,463,455,4
9,1,56,29,43,220,83,485,488,500,510,363,499,496,21,473,487,13
9,4,49,25,40,204,79,512,459,519,462,343,510,480,24,519,470,10
10,4,48,24,41,197,87,503,511,483,470,348,508,504,17,487,516,7
10,1,52,20,33,196,77,479,493,472,480,308,502,461,22,516,505,8
9,3,28,13,47,243,74,471,495,500,562,355,540,453,27,488,496,11
8,2,47,24,45,170,90,505,474,516,515,350,521,507,16,528,459,11
7,2,48,23,59,192,88,486,454,503,484,304,511,526,16,477,512,12
