P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
10,3,31,20,41,208,73,531,454,535,519,355,512,531,23,509,561,10
12,3,51,16,36,185,90,531,504,524,553,309,494,507,15,530,510,7
12,1,52,19,47,198,84,488,482,433,482,316,547,491,32,498,482,11
9,2,35,21,38,172,72,528,486,534,529,349,514,478,27,480,541,10
7,2,37,21,39,183,72,520,483,510,512,311,514,531,24,551,548,11
6,2,45,13,43,149,66,490,551,543,514,353,515,492,24,515,520,11
5,2,20,18,50,194,75,521,470,531,520,325,549,517,24,497,515,10
10,3,42,14,45,168,80,491,511,522,533,333,518,516,17,507,508,10
18,0,36,17,43,167,68,533,508,497,542,363,542,566,22,509,498,9
9,1,42,20,41,150,87,510,517,511,554,334,553,487,27,523,504,10
9,4,26,19,49,149,86,492,493,549,510,311,529,484,27,503,505,17
11,1,34,20,42,180,86,526,540,525,503,324,515,533,32,513,499,8
9,0,43,17,44,144,75,492,471,525,520,320,530,526,24,515,533,11
12,1,50,16,42,152,67,539,522,486,546,355,524,476,21,527,501,5
5,1,37,12,46,163,72,517,534,529,504,363,491,517,20,530,551,10
6,2,38,12,45,174,74,528,490,541,489,346,521,493,30,524,540,10
13,1,35,17,46,148,59,532,524,517,536,378,572,516,22,513,515,17
12,0,26,13,49,142,78,543,493,554,529,360,559,507,39,500,553,8
9,1,34,20,40,145,80,525,518,533,525,363,560,527,29,546,567,9
8,2,48,17,49,137,61,497,491,532,523,376,557,506,27,517,517,13
9,1,40,14,44,154,60,552,505,538,497,360,532,534,24,496,541,8
8,2,35,24,44,163,77,508,531,513,521,384,505,539,23,501,496,12
9,3,35,7,39,143,69,509,531,506,526,384,482,529,28,533,536,4
5,1,48,10,43,157,66,559,492,536,543,409,502,497,26,502,512,9
7,2,29,13,43,157,68,534,495,573,523,396,539,517,24,521,513,11
13,1,34,16,54,169,99,488,507,483,503,352,481,509,24,485,553,8
6,2,46,12,51,128,60,482,521,526,495,368,536,495,21,534,526,11
11,0,39,2,51,143,84,498,505,503,502,369,549,505,24,584,527,11
16,1,39,9,33,151,76,533,543,565,503,406,545,524,29,519,532,11
15,0,30,18,54,179,58,554,515,513,530,375,514,457,18,519,504,14
13,1,39,15,47,161,56,539,490,517,556,363,567,524,16,487,498,16
8,0,29,13,54,157,65,535,492,517,516,350,549,485,22,500,506,9
8,0,30,19,47,155,59,516,539,507,522,378,512,561,23,500,551,8
8,1,32,20,48,149,81,539,498,534,475,370,512,487,31,502,517,10
6,1,43,8,55,138,75,513,542,492,518,374,589,500,26,502,548,13
7,0,41,9,53,153,58,521,506,510,506,371,543,537,32,551,497,12
13,0,33,16,39,160,69,522,535,530,540,369,541,490,19,485,533,11
10,1,31,12,58,162,66,509,519,501,519,373,515,537,18,514,504,18
7,1,43,13,38,149,64,571,521,524,553,355,520,446,35,482,505,16
10,1,38,18,43,170,77,484,522,523,547,352,547,541,30,550,543,14
6,0,37,10,48,153,80,560,504,568,455,316,546,527,17,508,478,9
11,1,37,21,56,165,76,539,487,486,529,332,538,520,17,477,538,7
8,0,41,10,48,161,70,552,514,528,520,344,533,508,25,523,530,6
13,2,38,16,46,175,74,489,516,493,550,328,531,492,24,508,519,11
6,4,42,15,52,173,89,542,493,513,473,360,532,512,25,501,549,12
8,1,42,24,44,168,72,518,517,464,505,343,515,513,27,501,510,12
4,1,35,19,46,181,76,501,521,531,465,350,536,533,21,532,498,16
6,4,36,10,58,171,89,500,482,495,556,303,541,486,26,505,499,13
8,3,39,20,56,182,75,520,487,486,506,339,511,548,26,535,470,16
16,1,40,13,48,195,95,507,486,493,521,316,525,485,29,482,484,8
9,0,48,18,51,174,71,493,504,511,485,322,534,514,20,495,510,8
7,5,41,25,48,196,71,556,505,471,454,320,516,475,25,522,494,9
9,1,46,13,44,214,79,484,485,535,503,365,481,463,21,490,489,16
10,1,46,23,53,207,72,509,472,534,507,344,491,506,37,443,586,9
14,1,52,19,55,185,89,522,524,502,490,313,510,510,17,523,487,7
15,1,52,20,49,179,87,526,489,500,495,347,503,476,18,485,502,11
9,1,46,18,47,221,84,484,464,491,442,337,543,505,26,512,519,12
8,2,49,29,58,214,84,487,499,509,491,365,491,476,25,480,512,11
13,1,35,28,61,202,81,513,473,557,508,365,485,481,22,492,513,12
7,2,56,25,39,248,82,502,508,532,520,346,485,520,21,524,463,9
9,3,54,30,56,240,95,526,495,500,524,389,477,521,18,502,470,5
4,2,43,24,53,225,81,482,478,455,490,391,465,460,26,509,478,10
7,3,55,26,48,209,89,470,440,508,463,447,498,498,17,423,466,11
11,2,60,20,47,235,106,519,483,485,506,431,477,512,21,473,501,10
10,3,73,23,50,238,77,481,481,519,490,440,438,453,23,471,463,11
13,3,53,36,60,224,117,509,468,467,474,463,447,470,16,458,449,11
15,2,66,30,47,243,109,508,448,472,503,509,434,512,21,499,473,12
19,0,69,25,53,246,108,481,428,461,459,514,430,472,22,440,442,12
17,5,59,24,54,235,120,457,436,444,443,532,417,437,19,419,415,16
24,5,71,31,49,256,101,452,403,399,402,630,400,416,24,406,408,8
23,4,78,33,51,218,101,341,320,284,338,637,324,322,22,355,340,2
20,1,23,3,56,175,17,214,210,232,199,707,218,201,4,309,242,5
26,8,5,1,46,180,8,81,143,106,98,809,185,87,0,214,151,2
26,10,0,0,46,131,6,49,98,73,41,861,151,28,0,205,99,2
53,14,0,0,61,57,3,33,61,29,24,972,90,12,0,171,89,2
40,69,0,0,270,5,0,20,30,12,4,1552,74,3,0,149,60,0
