P2f_z_l,P4f_sze_l,P4f_sznu_l,P4f_ww_l,P4f_zz_l,P4f_zz_sl,P4f_zzorww_l,Pe2e2h_aa,Pe2e2h_az,Pe2e2h_bb,Pe2e2h_cc,Pe2e2h_e2e2,Pe2e2h_e3e3,Pe2e2h_gg,Pe2e2h_inv,Pe2e2h_ww,Pe2e2h_zz,Pqqh_zz
2309,44,94,28,319,447,175,451,443,411,413,409,412,415,17,412,425,10
141,32,102,32,123,423,177,398,453,428,417,456,443,416,20,484,449,11
111,12,86,40,94,394,138,462,443,434,425,428,445,412,22,446,491,10
73,16,77,35,105,360,159,483,467,416,431,437,466,445,17,424,431,6
69,12,59,36,77,336,135,420,428,456,440,453,451,441,30,463,428,13
34,13,70,23,72,321,115,465,449,471,485,441,460,463,17,462,490,18
33,13,71,44,89,340,113,488,494,468,447,435,453,457,29,487,450,9
26,11,76,30,88,319,118,460,433,433,470,451,505,463,22,472,425,9
24,7,81,28,69,308,102,453,451,466,456,475,486,458,18,499,454,6
26,11,75,38,55,307,113,486,451,473,458,509,461,460,20,478,429,8
18,9,57,32,73,264,119,452,456,509,470,467,471,478,19,502,485,9
17,9,60,18,59,230,103,471,478,454,472,465,506,466,26,464,494,6
20,5,52,24,65,233,95,467,457,481,457,472,484,451,23,459,490,8
23,6,68,32,66,235,90,488,445,468,429,481,510,432,14,469,456,11
15,3,42,17,64,233,82,499,476,523,515,490,504,476,18,472,448,16
18,7,63,25,51,254,97,481,501,488,480,495,481,495,25,488,488,10
20,6,52,20,52,199,96,500,463,461,527,455,466,517,21,494,451,11
17,3,56,25,57,220,91,484,494,502,488,490,516,492,19,512,512,9
27,7,58,29,48,210,98,505,496,470,457,485,485,452,18,488,522,8
9,3,57,21,64,203,83,493,454,521,490,502,534,462,15,522,487,7
10,8,42,18,51,195,77,465,521,520,490,477,535,478,25,495,498,7
12,1,40,26,66,205,74,480,516,529,516,474,486,517,23,517,490,12
10,4,41,15,40,197,94,493,517,543,477,468,549,502,12,480,519,7
12,3,34,20,47,190,104,494,488,473,523,490,537,511,27,512,536,11
14,2,47,18,50,202,81,478,543,520,516,483,501,476,23,533,509,12
8,6,41,19,41,188,64,522,464,468,528,497,519,525,21,520,525,11
12,4,46,21,47,177,87,518,482,503,493,516,486,489,27,498,502,11
6,2,36,24,60,178,76,536,479,545,487,524,541,478,25,554,487,9
9,1,23,16,61,193,60,518,514,542,564,493,546,531,18,572,493,7
7,5,51,11,51,179,57,485,514,511,534,508,576,546,14,514,554,8
10,1,43,18,69,189,75,498,508,509,510,504,530,553,34,510,536,10
8,3,39,21,55,167,82,530,534,548,559,510,508,523,23,526,514,16
14,4,29,12,43,176,71,544,503,514,538,517,516,510,25,507,551,9
8,4,35,19,62,168,78,548,550,502,520,524,529,517,28,521,563,8
11,3,33,16,68,143,76,544,475,536,521,538,575,522,22,526,566,10
11,4,30,15,49,181,62,540,532,541,572,531,500,545,32,539,497,10
10,2,46,19,53,170,74,508,514,545,490,527,556,512,29,556,501,6
14,5,47,14,55,138,81,545,505,535,526,532,553,511,19,541,500,16
11,0,28,12,48,164,74,522,488,534,563,512,517,517,23,510,549,7
10,6,37,14,43,134,75,557,510,534,536,509,532,498,25,546,573,8
8,2,42,17,55,129,71,528,517,549,522,516,503,528,35,549,573,9
9,1,40,13,47,153,70,575,514,544,535,518,495,530,33,540,572,15
9,4,31,19,42,143,83,562,525,524,505,500,564,486,32,531,535,12
10,1,48,22,52,157,73,538,542,501,538,506,550,540,24,570,568,8
11,4,31,10,48,166,55,511,545,531,504,502,549,530,28,563,568,14
13,2,37,22,55,130,72,550,518,544,556,509,507,548,18,542,529,14
7,2,32,14,54,159,72,548,535,549,525,494,548,528,26,602,543,8
13,1,33,9,50,130,72,536,499,569,548,533,569,510,15,578,491,11
11,3,35,14,50,129,58,530,529,537,554,445,531,532,25,523,535,11
11,4,31,13,49,169,82,553,531,499,531,489,544,524,26,532,543,12
8,5,34,13,60,124,75,547,524,564,478,543,554,471,24,545,522,12
6,0,46,13,69,143,81,558,531,514,526,510,563,524,31,586,522,10
7,2,39,7,60,178,64,547,530,515,516,497,528,492,21,519,521,6
8,3,36,8,55,158,70,513,522,549,563,539,503,535,26,533,549,12
3,2,38,11,59,135,60,532,507,542,516,480,556,541,26,562,533,11
10,3,27,16,52,159,69,563,530,479,536,496,544,499,18,559,531,12
8,3,33,18,45,154,72,538,552,514,504,525,568,517,26,545,523,11
12,5,32,16,64,158,70,564,560,568,565,538,546,539,26,499,578,12
7,2,31,15,49,148,63,524,542,526,496,483,554,524,22,517,549,11
5,3,49,11,47,142,69,496,471,535,533,510,562,514,35,524,562,13
8,2,41,15,52,153,64,557,530,505,557,500,556,552,12,555,529,15
8,4,32,15,56,152,53,519,545,538,497,513,549,512,26,549,489,11
9,1,35,10,46,176,70,610,563,539,506,488,535,493,25,523,533,12
7,4,51,16,43,166,74,545,538,523,484,504,580,515,34,564,550,15
4,2,31,11,53,185,67,517,556,539,519,508,574,510,19,505,514,9
11,1,31,14,59,151,70,555,556,544,530,496,536,557,28,561,522,13
2,1,39,12,47,168,64,518,506,511,502,537,507,501,23,537,516,12
11,4,48,8,49,168,66,549,523,519,540,506,526,525,19,568,536,13
6,3,45,16,43,163,79,549,553,496,513,504,504,524,26,533,544,8
11,1,41,14,54,180,73,512,510,548,492,528,549,504,16,519,507,7
12,4,36,21,51,184,74,512,551,495,527,466,511,527,19,531,485,14
12,3,37,16,54,192,73,543,524,504,499,496,539,502,20,487,498,12
10,3,33,24,65,170,92,535,484,527,475,480,517,480,22,459,518,7
12,3,41,18,61,201,80,484,498,547,497,497,500,467,30,530,524,10
14,2,49,14,59,171,91,553,504,515,524,537,550,533,27,484,516,10
14,4,58,18,52,216,66,532,499,499,497,537,514,498,28,480,526,9
13,8,39,19,77,202,90,483,521,474,496,503,530,471,24,524,511,7
20,7,46,21,54,196,87,476,467,484,494,501,498,492,25,498,530,15
17,2,44,20,64,188,90,507,496,515,496,476,505,470,20,525,518,10
11,4,35,24,56,205,88,538,472,491,557,468,543,516,33,546,488,8
15,4,55,25,58,209,88,489,444,488,467,505,540,470,31,511,518,11
18,2,41,23,60,223,84,511,484,489,482,503,500,506,12,474,479,10
18,5,41,24,59,232,74,522,442,529,490,441,499,489,25,547,539,10
7,8,54,21,62,242,62,515,458,536,498,445,500,482,17,542,495,11
25,7,53,25,57,238,89,474,442,503,528,463,485,524,20,460,485,6
15,5,57,28,77,231,100,496,476,468,517,469,524,534,11,482,441,14
15,8,56,31,52,264,99,461,445,501,469,461,487,470,21,468,462,12
11,6,60,27,87,248,87,453,494,514,512,427,528,489,28,500,488,10
30,3,72,28,64,270,104,521,461,480,517,428,479,495,22,496,488,13
20,7,60,31,56,288,102,471,471,474,429,456,437,443,21,482,458,11
27,6,59,27,64,288,113,457,482,489,464,421,497,484,16,439,481,7
25,6,71,26,73,312,114,490,471,478,457,440,468,456,26,549,466,11
24,9,72,25,74,301,127,478,449,453,488,444,461,475,21,482,457,12
44,9,80,37,83,342,110,427,423,448,481,444,492,477,16,427,474,11
51,16,86,32,91,326,132,477,467,442,438,428,449,434,31,493,469,12
51,13,70,24,94,353,119,442,420,444,498,431,478,476,25,447,504,9
69,21,88,23,89,351,125,479,412,465,423,427,444,431,24,442,431,10
86,27,105,28,98,398,167,459,434,431,385,402,487,403,20,458,445,7
182,28,98,37,118,383,143,435,437,394,411,421,434,394,16,442,436,11
2289,40,90,27,270,436,156,424,484,441,466,445,455,455,12,447,453,6
