P4f_sze_l
15
12
16
20
13
12
11
18
18
22
13
17
27
18
14
19
13
23
15
26
16
17
16
16
24
25
17
19
16
18
17
23
19
13
25
28
18
11
26
22
28
25
26
20
27
39
40
38
41
36
40
35
42
35
23
29
38
25
17
19
21
14
22
21
21
10
16
17
15
16
12
16
9
14
15
10
13
13
15
13
19
14
13
8
14
16
18
18
6
15
9
13
14
10
13
10
11
14
16
12
