P4f_sze_l
10
12
14
5
11
13
8
10
9
13
11
14
12
10
17
6
15
10
10
7
9
13
9
10
9
9
12
8
8
11
10
9
10
10
6
17
12
9
15
12
16
11
10
10
9
16
15
19
13
10
13
12
8
13
11
14
8
15
16
5
9
9
15
7
10
11
11
15
11
13
10
13
11
16
15
4
18
10
11
14
9
13
18
14
14
11
10
10
8
12
13
13
19
14
13
17
13
16
13
7
