P4f_sze_l
16
15
7
5
8
7
3
1
6
5
7
3
3
2
2
1
5
1
3
2
1
0
1
4
0
2
0
4
0
0
2
0
2
5
0
0
2
1
1
0
0
2
0
2
0
2
1
0
2
0
0
0
0
1
1
0
1
0
1
2
2
2
0
1
1
0
0
0
1
1
2
1
0
2
0
1
1
1
2
2
4
2
2
1
2
6
1
2
2
6
6
6
4
9
6
11
5
13
19
26
